scop_id,pdb_id,scop_class,hierarchy,superfamily
d1n4rc_,1n4r,a,a.118.6.1,a.118.6
d6qhla1,6qhl,a,a.118.7.1,a.118.7
d4x5za2,4x5z,a,a.118.8.1,a.118.8
d1mhqb_,1mhq,a,a.118.9.2,a.118.9
d2iukb2,2iuk,a,a.119.1.1,a.119.1
d5svha_,5svh,a,a.12.1.1,a.12.1
d1c1ka_,1c1k,a,a.120.1.1,a.120.1
d1qvtb2,1qvt,a,a.121.1.1,a.121.1
d6vjda_,6vjd,a,a.123.1.1,a.123.1
d5fbaa_,5fba,a,a.124.1.0,a.124.1
d1n5ua2,1n5u,a,a.126.1.1,a.126.1
d4ffxb_,4ffx,a,a.127.1.0,a.127.1
d4lfeb_,4lfe,a,a.128.1.0,a.128.1
d1wf4f1,1wf4,a,a.129.1.1,a.129.1
d2fcwa1,2fcw,a,a.13.1.1,a.13.1
d5csma_,5csm,a,a.130.1.2,a.130.1
d1pprn1,1ppr,a,a.131.1.1,a.131.1
d4gpha_,4gph,a,a.132.1.1,a.132.1
d1a2ah_,1a2a,a,a.133.1.2,a.133.1
d2aibb_,2aib,a,a.134.1.1,a.134.1
d5m2ca_,5m2c,a,a.135.1.1,a.135.1
d2hxjf_,2hxj,a,a.136.1.1,a.136.1
d1kc83_,1kc8,a,a.137.1.1,a.137.1
d5s64e_,5s64,a,a.137.10.1,a.137.10
d1rp3h_,1rp3,a,a.137.11.1,a.137.11
d2f2ac_,2f2a,a,a.137.12.1,a.137.12
d1wmib1,1wmi,a,a.137.13.1,a.137.13
d2fo1d1,2fo1,a,a.137.14.1,a.137.14
d2es4e_,2es4,a,a.137.15.1,a.137.15
d1lrwb_,1lrw,a,a.137.2.1,a.137.2
d5wg4g_,5wg4,a,a.137.3.1,a.137.3
d1hfes_,1hfe,a,a.137.4.1,a.137.4
d1ef1d_,1ef1,a,a.137.5.1,a.137.5
d1dp5b_,1dp5,a,a.137.7.1,a.137.7
d4asui_,4asu,a,a.137.8.1,a.137.8
d1pbyc_,1pby,a,a.137.9.1,a.137.9
d4wjya_,4wjy,a,a.138.1.3,a.138.1
d5m0yb2,5m0y,a,a.139.1.0,a.139.1
d2rjxb_,2rjx,a,a.14.1.1,a.14.1
d6ghdh_,6ghd,a,a.140.1.1,a.140.1
d1v66a_,1v66,a,a.140.2.1,a.140.2
d1pvoa1,1pvo,a,a.140.3.1,a.140.3
d2qnfb1,2qnf,a,a.140.4.1,a.140.4
d4zdsb1,4zds,a,a.140.5.1,a.140.5
d2dk4a1,2dk4,a,a.140.6.1,a.140.6
d5bpqa_,5bpq,a,a.141.1.0,a.141.1
d1tlva1,1tlv,a,a.142.1.1,a.142.1
d7d59f_,7d59,a,a.143.1.2,a.143.1
d3kurc_,3kur,a,a.144.1.1,a.144.1
d2gyco1,2gyc,a,a.144.2.1,a.144.2
d2avub_,2avu,a,a.145.1.1,a.145.1
d3bu8a_,3bu8,a,a.146.1.1,a.146.1
d1k1fa_,1k1f,a,a.147.1.1,a.147.1
d4jd2e_,4jd2,a,a.148.1.1,a.148.1
d1rc5a_,1rc5,a,a.149.1.1,a.149.1
d1tbaa_,1tba,a,a.15.1.1,a.15.1
d1tkva_,1tkv,a,a.150.1.1,a.150.1
d1gpja1,1gpj,a,a.151.1.1,a.151.1
d2q0tc_,2q0t,a,a.152.1.1,a.152.1
d5jemf_,5jem,a,a.153.1.1,a.153.1
d1l8wd_,1l8w,a,a.154.1.1,a.154.1
d1ov9a_,1ov9,a,a.155.1.1,a.155.1
d2uuam1,2uua,a,a.156.1.1,a.156.1
d1fqvb1,1fqv,a,a.157.1.1,a.157.1
d1fqvk1,1fqv,a,a.158.1.1,a.158.1
d1a6qa1,1a6q,a,a.159.1.1,a.159.1
d2cqna1,2cqn,a,a.159.2.1,a.159.2
d1s7za_,1s7z,a,a.159.3.1,a.159.3
d1q1va1,1q1v,a,a.159.4.1,a.159.4
d2bzta_,2bzt,a,a.159.5.1,a.159.5
d3m8al1,3m8a,a,a.16.1.1,a.16.1
d4xq7a2,4xq7,a,a.160.1.0,a.160.1
d1lujb_,1luj,a,a.161.1.1,a.161.1
d1tf2a1,1tf2,a,a.162.1.1,a.162.1
d1j0ta_,1j0t,a,a.163.1.1,a.163.1
d1koya_,1koy,a,a.164.1.1,a.164.1
d2rlta_,2rlt,a,a.165.1.1,a.165.1
d2h2jc1,2h2j,a,a.166.1.1,a.166.1
d1r9ka_,1r9k,a,a.168.1.1,a.168.1
d1t77a1,1t77,a,a.169.1.1,a.169.1
d2hp8a_,2hp8,a,a.17.1.1,a.17.1
d1miua1,1miu,a,a.170.1.1,a.170.1
d1iyjb2,1iyj,a,a.171.1.1,a.171.1
d3dinb2,3din,a,a.172.1.1,a.172.1
d1ou5a1,1ou5,a,a.173.1.1,a.173.1
d1lzwb_,1lzw,a,a.174.1.1,a.174.1
d5tuwf1,5tuw,a,a.175.1.1,a.175.1
d1tiwa1,1tiw,a,a.176.1.1,a.176.1
d6cuuf1,6cuu,a,a.177.1.1,a.177.1
d1ng7a1,1ng7,a,a.178.1.1,a.178.1
d1no1a1,1no1,a,a.179.1.1,a.179.1
d2enda_,2end,a,a.18.1.1,a.18.1
d1or7f_,1or7,a,a.180.1.1,a.180.1
d1ny9a_,1ny9,a,a.181.1.1,a.181.1
d1zq1c1,1zq1,a,a.182.1.2,a.182.1
d3icxa_,3icx,a,a.183.1.0,a.183.1
d3u41a_,3u41,a,a.184.1.1,a.184.1
d1n81a_,1n81,a,a.185.1.1,a.185.1
d1sv1a1,1sv1,a,a.186.1.1,a.186.1
d1ofcx3,1ofc,a,a.187.1.1,a.187.1
d1mp1a1,1mp1,a,a.188.1.1,a.188.1
d1x3zb_,1x3z,a,a.189.1.1,a.189.1
d5ii9d_,5ii9,a,a.19.1.1,a.19.1
d1sfka_,1sfk,a,a.190.1.1,a.190.1
d1o5ha_,1o5h,a,a.191.1.1,a.191.1
d1tjfb_,1tjf,a,a.192.1.1,a.192.1
d1uptb_,1upt,a,a.193.1.1,a.193.1
d1vf6a_,1vf6,a,a.194.1.1,a.194.1
d1y9ic_,1y9i,a,a.195.1.1,a.195.1
d1q5za_,1q5z,a,a.196.1.1,a.196.1
d1sdia1,1sdi,a,a.198.1.1,a.198.1
d1izma_,1izm,a,a.199.1.1,a.199.1
d2euld1,2eul,a,a.2.1.1,a.2.1
d2xokh2,2xok,a,a.2.10.0,a.2.10
d4l2cd1,4l2c,a,a.2.11.0,a.2.11
d3fyrb_,3fyr,a,a.2.12.1,a.2.12
d2hjdc_,2hjd,a,a.2.13.1,a.2.13
d1tjle1,1tjl,a,a.2.14.1,a.2.14
d1x4ta1,1x4t,a,a.2.15.1,a.2.15
d2a26b2,2a26,a,a.2.16.1,a.2.16
d6vmee_,6vme,a,a.2.17.0,a.2.17
d1z0pa1,1z0p,a,a.2.18.1,a.2.18
d1z0jb1,1z0j,a,a.2.19.1,a.2.19
d2j0321,2j03,a,a.2.2.1,a.2.2
d2x9ca_,2x9c,a,a.2.20.0,a.2.20
d2hepa1,2hep,a,a.2.21.1,a.2.21
d6iwsa1,6iws,a,a.2.3.0,a.2.3
d1fxka_,1fxk,a,a.2.5.1,a.2.5
d1cxzb_,1cxz,a,a.2.6.1,a.2.6
d1sera1,1ser,a,a.2.7.1,a.2.7
d1sc7a1,1sc7,a,a.2.8.1,a.2.8
d1qojb_,1qoj,a,a.2.9.1,a.2.9
d2wkxa1,2wkx,a,a.20.1.1,a.20.1
d1nxhb_,1nxh,a,a.200.1.1,a.200.1
d3kphb_,3kph,a,a.202.1.1,a.202.1
d1yfrb1,1yfr,a,a.203.1.1,a.203.1
d2q9lc_,2q9l,a,a.204.1.0,a.204.1
d1us7b_,1us7,a,a.205.1.1,a.205.1
d1n93x_,1n93,a,a.206.1.1,a.206.1
d1v9dc_,1v9d,a,a.207.1.1,a.207.1
d1un8b1,1un8,a,a.208.1.1,a.208.1
d2wocb_,2woc,a,a.209.1.0,a.209.1
d7jjka_,7jjk,a,a.21.1.0,a.21.1
d1rf8b1,1rf8,a,a.210.1.1,a.210.1
d3ly2d_,3ly2,a,a.211.1.2,a.211.1
d1v65a1,1v65,a,a.212.1.1,a.212.1
d2f22a1,2f22,a,a.213.1.2,a.213.1
d1ojhj_,1ojh,a,a.214.1.1,a.214.1
d1sj7c1,1sj7,a,a.215.1.1,a.215.1
d1r0da_,1r0d,a,a.216.1.1,a.216.1
d1ug0a1,1ug0,a,a.217.1.1,a.217.1
d6b58b_,6b58,a,a.218.1.0,a.218.1
d1sedb_,1sed,a,a.219.1.1,a.219.1
d4z5tb_,4z5t,a,a.22.1.1,a.22.1
d2q3ta_,2q3t,a,a.220.1.1,a.220.1
d1uuja_,1uuj,a,a.221.1.1,a.221.1
d2ot3a_,2ot3,a,a.222.1.1,a.222.1
d2mlya3,2mly,a,a.223.1.0,a.223.1
d2evsa_,2evs,a,a.224.1.1,a.224.1
d1tm9a_,1tm9,a,a.225.1.1,a.225.1
d1szhb_,1szh,a,a.226.1.1,a.226.1
d3m31a1,3m31,a,a.227.1.1,a.227.1
d1q8da_,1q8d,a,a.228.1.1,a.228.1
d1ztsa1,1zts,a,a.229.1.1,a.229.1
d1fpoa2,1fpo,a,a.23.1.1,a.23.1
d5yrtc_,5yrt,a,a.23.2.1,a.23.2
d1fz2f_,1fz2,a,a.23.3.1,a.23.3
d1om2a_,1om2,a,a.23.4.1,a.23.4
d1jw2a_,1jw2,a,a.23.5.1,a.23.5
d2odmb_,2odm,a,a.23.6.0,a.23.6
d2js1b2,2js1,a,a.23.7.1,a.23.7
d1u84a_,1u84,a,a.230.1.1,a.230.1
d1xoua_,1xou,a,a.231.1.1,a.231.1
d1xlyb_,1xly,a,a.232.1.1,a.232.1
d4lr3j_,4lr3,a,a.233.1.1,a.233.1
d1td6a_,1td6,a,a.234.1.1,a.234.1
d1x9na1,1x9n,a,a.235.1.1,a.235.1
d4im9b1,4im9,a,a.236.1.0,a.236.1
d2xy8b_,2xy8,a,a.237.1.1,a.237.1
d4i1qb_,4i1q,a,a.238.1.0,a.238.1
d1sg7a1,1sg7,a,a.239.1.1,a.239.1
d6ncna1,6ncn,a,a.24.1.1,a.24.1
d1sr2a_,1sr2,a,a.24.10.4,a.24.10
d1he9a1,1he9,a,a.24.11.1,a.24.11
d7bmlc_,7bml,a,a.24.12.0,a.24.12
d1qzwa1,1qzw,a,a.24.13.1,a.24.13
d3s9oa_,3s9o,a,a.24.14.1,a.24.14
d3u2ma_,3u2m,a,a.24.15.1,a.24.15
d1wj8c_,1wj8,a,a.24.16.2,a.24.16
d1nlxi_,1nlx,a,a.24.17.1,a.24.17
d1nzea_,1nze,a,a.24.18.1,a.24.18
d3k1ib_,3k1i,a,a.24.19.0,a.24.19
d2d4ua1,2d4u,a,a.24.2.0,a.24.2
d1tfob2,1tfo,a,a.24.20.1,a.24.20
d1gm5a1,1gm5,a,a.24.21.1,a.24.21
d1q0kd_,1q0k,a,a.24.22.1,a.24.22
d1szia_,1szi,a,a.24.23.1,a.24.23
d1ug7a1,1ug7,a,a.24.24.1,a.24.24
d1xzpa1,1xzp,a,a.24.25.1,a.24.25
d2huja1,2huj,a,a.24.26.1,a.24.26
d2ap3a1,2ap3,a,a.24.27.1,a.24.27
d2g3kf_,2g3k,a,a.24.28.1,a.24.28
d2qupa_,2qup,a,a.24.29.0,a.24.29
d3c62b_,3c62,a,a.24.3.1,a.24.3
d6o73a5,6o73,a,a.24.30.0,a.24.30
d2hmza_,2hmz,a,a.24.4.1,a.24.4
d6i5aa_,6i5a,a,a.24.5.1,a.24.5
d4drhe1,4drh,a,a.24.7.1,a.24.7
d1ya7r_,1ya7,a,a.24.8.1,a.24.8
d1h6gb2,1h6g,a,a.24.9.1,a.24.9
d1x3aa1,1x3a,a,a.240.1.1,a.240.1
d3d8ae_,3d8a,a,a.241.1.1,a.241.1
d2qkmh1,2qkm,a,a.242.1.1,a.242.1
d1xl3c1,1xl3,a,a.243.1.1,a.243.1
d2au5a1,2au5,a,a.244.1.1,a.244.1
d3gjoc_,3gjo,a,a.245.1.1,a.245.1
d2cbia1,2cbi,a,a.246.1.1,a.246.1
d2cxda_,2cxd,a,a.246.2.1,a.246.2
d2gnxa1,2gnx,a,a.246.3.1,a.246.3
d2jn8a1,2jn8,a,a.247.1.1,a.247.1
d2fi0a1,2fi0,a,a.248.1.1,a.248.1
d2euca1,2euc,a,a.249.1.1,a.249.1
d5xb1q_,5xb1,a,a.25.1.0,a.25.1
d2zhya_,2zhy,a,a.25.2.0,a.25.2
d4ioeb_,4ioe,a,a.25.3.0,a.25.3
d2g38b1,2g38,a,a.25.4.2,a.25.4
d3fx7b1,3fx7,a,a.25.5.1,a.25.5
d2nr5d_,2nr5,a,a.25.6.1,a.25.6
d2cmqb_,2cmq,a,a.250.1.1,a.250.1
d1z61b1,1z61,a,a.251.1.1,a.251.1
d1ykhb1,1ykh,a,a.252.1.1,a.252.1
d1yozb2,1yoz,a,a.253.1.1,a.253.1
d2fefb2,2fef,a,a.254.1.1,a.254.1
d2jeka1,2jek,a,a.255.1.1,a.255.1
d2dwka_,2dwk,a,a.256.1.1,a.256.1
d2fm8c1,2fm8,a,a.257.1.1,a.257.1
d2apla1,2apl,a,a.258.1.1,a.258.1
d1z67a1,1z67,a,a.259.1.1,a.259.1
d6weo5_,6weo,a,a.26.1.3,a.26.1
d2gttj1,2gtt,a,a.260.1.1,a.260.1
d4xkca2,4xkc,a,a.261.1.1,a.261.1
d1zt2b1,1zt2,a,a.262.1.1,a.262.1
d2ex3f1,2ex3,a,a.263.1.1,a.263.1
d1zroa1,1zro,a,a.264.1.1,a.264.1
d6ep5f1,6ep5,a,a.265.1.1,a.265.1
d6e41a1,6e41,a,a.266.1.2,a.266.1
d2csbb1,2csb,a,a.267.1.1,a.267.1
d2hv7a_,2hv7,a,a.268.1.1,a.268.1
d2ceaa1,2cea,a,a.269.1.1,a.269.1
d2ct8b2,2ct8,a,a.27.1.0,a.27.1
d2bw3a1,2bw3,a,a.270.1.1,a.270.1
d4jgha2,4jgh,a,a.271.1.0,a.271.1
d2nn4b2,2nn4,a,a.272.1.1,a.272.1
d2db7b2,2db7,a,a.273.1.1,a.273.1
d2l7ib1,2l7i,a,a.274.1.1,a.274.1
d2i5ua1,2i5u,a,a.275.1.1,a.275.1
d2oy9a1,2oy9,a,a.276.1.1,a.276.1
d2knha1,2knh,a,a.277.1.1,a.277.1
d2e9xf1,2e9x,a,a.278.1.2,a.278.1
d2pyqb2,2pyq,a,a.279.1.1,a.279.1
d4ihgh_,4ihg,a,a.28.1.1,a.28.1
d3u43a1,3u43,a,a.28.2.1,a.28.2
d6axxa2,6axx,a,a.28.3.0,a.28.3
d2peik_,2pei,a,a.280.1.1,a.280.1
d2iaza1,2iaz,a,a.281.1.2,a.281.1
d2gqba1,2gqb,a,a.282.1.1,a.282.1
d1utua1,1utu,a,a.283.1.1,a.283.1
d2juwa1,2juw,a,a.284.1.1,a.284.1
d3brjb_,3brj,a,a.285.1.1,a.285.1
d2pv4a1,2pv4,a,a.286.1.1,a.286.1
d2ou3a1,2ou3,a,a.287.1.1,a.287.1
d2o74e_,2o74,a,a.288.1.1,a.288.1
d2xaub4,2xau,a,a.289.1.0,a.289.1
d1v9va1,1v9v,a,a.29.10.1,a.29.10
d2fefc1,2fef,a,a.29.11.1,a.29.11
d3i9v13,3i9v,a,a.29.12.0,a.29.12
d3dbyc2,3dby,a,a.29.13.1,a.29.13
d2qzga1,2qzg,a,a.29.14.1,a.29.14
d2hi7b1,2hi7,a,a.29.15.1,a.29.15
d2rldc_,2rld,a,a.29.16.1,a.29.16
d2hgka1,2hgk,a,a.29.17.1,a.29.17
d5s95a_,5s95,a,a.29.2.0,a.29.2
d2a1td1,2a1t,a,a.29.3.0,a.29.3
d5m4ma1,5m4m,a,a.29.5.1,a.29.5
d2cj8a_,2cj8,a,a.29.6.1,a.29.6
d5b5vc_,5b5v,a,a.29.7.1,a.29.7
d2bl8b_,2bl8,a,a.29.8.2,a.29.8
d2etda1,2etd,a,a.29.9.1,a.29.9
d2p0ta1,2p0t,a,a.290.1.1,a.290.1
d2i15c_,2i15,a,a.291.1.1,a.291.1
d3mlic1,3mli,a,a.292.1.1,a.292.1
d2o35b_,2o35,a,a.293.1.1,a.293.1
d3bzka3,3bzk,a,a.294.1.1,a.294.1
d2o8sa1,2o8s,a,a.295.1.1,a.295.1
d2ec5a1,2ec5,a,a.296.1.1,a.296.1
d2b5lb3,2b5l,a,a.297.1.1,a.297.1
d4ot3a1,4ot3,a,a.298.1.1,a.298.1
d4h5pc_,4h5p,a,a.299.1.1,a.299.1
d3cx5d1,3cx5,a,a.3.1.3,a.3.1
d1f4md_,1f4m,a,a.30.1.1,a.30.1
d3dgea1,3dge,a,a.30.2.0,a.30.2
d1pd3b_,1pd3,a,a.30.3.1,a.30.3
d1ufia1,1ufi,a,a.30.4.1,a.30.4
d1skva1,1skv,a,a.30.5.1,a.30.5
d1zkeb2,1zke,a,a.30.6.1,a.30.6
d2c0sa1,2c0s,a,a.30.7.1,a.30.7
d2az2b_,2az2,a,a.30.8.1,a.30.8
d3mx5b1,3mx5,a,a.300.1.1,a.300.1
d3kika_,3kik,a,a.301.1.1,a.301.1
d5id6a4,5id6,a,a.302.1.1,a.302.1
d2izyd2,2izy,a,a.31.1.1,a.31.1
d1nh2b_,1nh2,a,a.32.1.1,a.32.1
d1ecia_,1eci,a,a.33.1.1,a.33.1
d5tmxa1,5tmx,a,a.34.1.1,a.34.1
d1f93g_,1f93,a,a.34.2.1,a.34.2
d1pzqb1,1pzq,a,a.34.3.1,a.34.3
d1q2ha_,1q2h,a,a.34.4.1,a.34.4
d2axuf1,2axu,a,a.35.1.11,a.35.1
d1dula_,1dul,a,a.36.1.1,a.36.1
d1sknp_,1skn,a,a.37.1.1,a.37.1
d1an2a_,1an2,a,a.38.1.1,a.38.1
d1pzrb_,1pzr,a,a.38.2.1,a.38.2
d1gqme_,1gqm,a,a.39.1.2,a.39.1
d4f7fd_,4f7f,a,a.39.2.0,a.39.2
d2cj0a1,2cj0,a,a.39.3.1,a.39.3
d1iioa1,1iio,a,a.39.4.1,a.39.4
d1jt6e1,1jt6,a,a.4.1.9,a.4.1
d1wjda_,1wjd,a,a.4.10.1,a.4.10
d1twgj_,1twg,a,a.4.11.1,a.4.11
d5tm0d_,5tm0,a,a.4.12.1,a.4.12
d4q4zf2,4q4z,a,a.4.13.0,a.4.13
d1vz0f1,1vz0,a,a.4.14.1,a.4.14
d1rq6a_,1rq6,a,a.4.15.1,a.4.15
d1t39b1,1t39,a,a.4.2.1,a.4.2
d1c20a_,1c20,a,a.4.3.1,a.4.3
d1hxda1,1hxd,a,a.4.5.1,a.4.5
d1fc3c_,1fc3,a,a.4.6.3,a.4.6
d3cc7i1,3cc7,a,a.4.7.1,a.4.7
d2qalr1,2qal,a,a.4.8.1,a.4.8
d1e3pa1,1e3p,a,a.4.9.1,a.4.9
d1dxxb1,1dxx,a,a.40.1.1,a.40.1
d1lnsa1,1lns,a,a.40.2.1,a.40.2
d1wixa1,1wix,a,a.40.3.1,a.40.3
d4hhza1,4hhz,a,a.41.1.0,a.41.1
d4jvra_,4jvr,a,a.42.1.1,a.42.1
d1bdta_,1bdt,a,a.43.1.1,a.43.1
d2f3mb1,2f3m,a,a.45.1.1,a.45.1
d3ivaa1,3iva,a,a.46.1.1,a.46.1
d2gvqa1,2gvq,a,a.46.2.1,a.46.2
d2g42b2,2g42,a,a.46.3.1,a.46.3
d1bf5a1,1bf5,a,a.47.1.1,a.47.1
d1ez3b_,1ez3,a,a.47.2.1,a.47.2
d1s2xa1,1s2x,a,a.47.3.1,a.47.3
d3q7gb_,3q7g,a,a.47.4.0,a.47.4
d2fupa1,2fup,a,a.47.5.1,a.47.5
d1t98b2,1t98,a,a.47.6.1,a.47.6
d3vrqa3,3vrq,a,a.48.1.1,a.48.1
d4p4da3,4p4d,a,a.48.2.1,a.48.2
d1wjta1,1wjt,a,a.48.3.1,a.48.3
d3hphf_,3hph,a,a.48.4.1,a.48.4
d2okub_,2oku,a,a.48.5.1,a.48.5
d1f6va1,1f6v,a,a.49.1.1,a.49.1
d1bdxd1,1bdx,a,a.5.1.1,a.5.1
d4mgha2,4mgh,a,a.5.10.1,a.5.10
d1p3qr_,1p3q,a,a.5.2.4,a.5.2
d1olma1,1olm,a,a.5.3.1,a.5.3
d1enwa_,1enw,a,a.5.4.1,a.5.4
d1eija_,1eij,a,a.5.6.1,a.5.6
d1nvme1,1nvm,a,a.5.7.1,a.5.7
d1t95a1,1t95,a,a.5.8.1,a.5.8
d1ufza1,1ufz,a,a.5.9.1,a.5.9
d4uu9c1,4uu9,a,a.50.1.1,a.50.1
d3ag3h_,3ag3,a,a.51.1.1,a.51.1
d1jtba_,1jtb,a,a.52.1.1,a.52.1
d2nb1a1,2nb1,a,a.53.1.0,a.53.1
d2wb0x1,2wb0,a,a.54.1.1,a.54.1
d5ekaa_,5eka,a,a.55.1.0,a.55.1
d3nvva2,3nvv,a,a.56.1.1,a.56.1
d5wyob_,5wyo,a,a.57.1.1,a.57.1
d1af7a1,1af7,a,a.58.1.1,a.58.1
d2rmsa_,2rms,a,a.59.1.1,a.59.1
d1rh6b_,1rh6,a,a.6.1.7,a.6.1
d3bq7d_,3bq7,a,a.60.1.0,a.60.1
d2ezba1,2ezb,a,a.60.10.1,a.60.10
d1jyga_,1jyg,a,a.60.11.1,a.60.11
d3wu2u_,3wu2,a,a.60.12.2,a.60.12
d1n2xb1,1n2x,a,a.60.13.1,a.60.13
d2a1aa2,2a1a,a,a.60.14.0,a.60.14
d2fj6a1,2fj6,a,a.60.15.1,a.60.15
d3ci0k1,3ci0,a,a.60.16.1,a.60.16
d3uqzc1,3uqz,a,a.60.17.1,a.60.17
d2csda2,2csd,a,a.60.2.4,a.60.2
d3k4gb_,3k4g,a,a.60.3.1,a.60.3
d3etla1,3etl,a,a.60.4.0,a.60.4
d6ghdd_,6ghd,a,a.60.5.1,a.60.5
d4klta1,4klt,a,a.60.6.1,a.60.6
d1mc8b1,1mc8,a,a.60.7.1,a.60.7
d2c35e_,2c35,a,a.60.8.2,a.60.8
d2hoib1,2hoi,a,a.60.9.0,a.60.9
d7jxrf_,7jxr,a,a.61.1.1,a.61.1
d5gmzf1,5gmz,a,a.62.1.1,a.62.1
d1aepa_,1aep,a,a.63.1.1,a.63.1
d7mbka_,7mbk,a,a.64.1.0,a.64.1
d1o82c_,1o82,a,a.64.2.1,a.64.2
d2hywb_,2hyw,a,a.65.1.0,a.65.1
d1cjvc1,1cjv,a,a.66.1.1,a.66.1
d1ej5a_,1ej5,a,a.68.1.1,a.68.1
d2jizk3,2jiz,a,a.69.1.1,a.69.1
d1fkma2,1fkm,a,a.69.2.1,a.69.2
d1r0lc1,1r0l,a,a.69.3.1,a.69.3
d2o4ta1,2o4t,a,a.69.4.1,a.69.4
d7a8ta1,7a8t,a,a.7.1.1,a.7.1
d1rrza_,1rrz,a,a.7.10.1,a.7.10
d1w09a_,1w09,a,a.7.11.1,a.7.11
d2bkoa1,2bko,a,a.7.12.1,a.7.12
d1vp7e_,1vp7,a,a.7.13.1,a.7.13
d2jqha_,2jqh,a,a.7.14.1,a.7.14
d2o8rb1,2o8r,a,a.7.15.1,a.7.15
d2crba1,2crb,a,a.7.16.1,a.7.16
d3d5sd_,3d5s,a,a.7.17.1,a.7.17
d2lrkb_,2lrk,a,a.7.2.0,a.7.2
d1jnrc1,1jnr,a,a.7.3.1,a.7.3
d1g73b_,1g73,a,a.7.4.1,a.7.4
d1h7ca_,1h7c,a,a.7.5.1,a.7.5
d1fjgt_,1fjg,a,a.7.6.1,a.7.6
d3fzmb1,3fzm,a,a.7.7.1,a.7.7
d3zyka2,3zyk,a,a.7.8.0,a.7.8
d2a7ub1,2a7u,a,a.70.1.1,a.70.1
d4gkfa_,4gkf,a,a.70.2.0,a.70.2
d2c0fa1,2c0f,a,a.71.1.0,a.71.1
d1m2oa1,1m2o,a,a.71.2.1,a.71.2
d1dvka_,1dvk,a,a.72.1.1,a.72.1
d2pwmf_,2pwm,a,a.73.1.1,a.73.1
d1oiud2,1oiu,a,a.74.1.1,a.74.1
d2uxcg1,2uxc,a,a.75.1.1,a.75.1
d3r61a2,3r61,a,a.76.1.1,a.76.1
d3ezql_,3ezq,a,a.77.1.2,a.77.1
d1hw2a2,1hw2,a,a.78.1.1,a.78.1
d3d3cb_,3d3c,a,a.79.1.1,a.79.1
d4hkzh1,4hkz,a,a.8.1.1,a.8.1
d2gf4b_,2gf4,a,a.8.10.1,a.8.10
d4fzpa1,4fzp,a,a.8.11.1,a.8.11
d1gvnc_,1gvn,a,a.8.2.1,a.8.2
d2f7pa1,2f7p,a,a.8.3.1,a.8.3
d1dkza1,1dkz,a,a.8.4.1,a.8.4
d1t6oa_,1t6o,a,a.8.5.1,a.8.5
